generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
106000,L_virgatum,A_pubescens,0,0.11492,0.026822,0.130339,0
107000,L_virgatum,A_pubescens,0,0.168765,0.00343814,0.129579,0
108000,L_virgatum,A_pubescens,0,0.119489,0.0270635,0.126325,0
109000,L_virgatum,A_pubescens,0,0.0861054,0.042591,0.0588078,0
110000,L_virgatum,A_pubescens,0,0.0993597,0.0680789,0.102375,0
111000,L_virgatum,A_pubescens,0,0.150425,0.00598031,0.0913775,0
112000,L_virgatum,A_pubescens,0,0.207493,0.00351877,0.173857,0
113000,L_virgatum,A_pubescens,0,0.10661,0.0244938,0.041098,0
114000,L_virgatum,A_pubescens,0,0.142015,0.0526221,0.202031,0
115000,L_virgatum,A_pubescens,0,0.227999,0.00932401,0.27198,0
116000,L_virgatum,A_pubescens,0,0.208761,0.0076776,0.19408,0
117000,L_virgatum,A_pubescens,0,0.153522,0.0111016,0.136879,0
118000,L_virgatum,A_pubescens,0,0.151711,0.00742645,0.116565,0
119000,L_virgatum,A_pubescens,0,0.26056,0.00421055,0.23494,0
120000,L_virgatum,A_pubescens,0,0.2595,-0.00208272,0.211083,0
121000,L_virgatum,A_pubescens,0,0.272459,-0.00208272,0.196594,0
122000,L_virgatum,A_pubescens,0,0.123767,0.0350725,0.126673,0
123000,L_virgatum,A_pubescens,0,0.217268,0.0003191,0.127243,0
124000,L_virgatum,A_pubescens,0,0.118473,0.0343708,0.148934,0
125000,L_virgatum,A_pubescens,0,0.319891,-0.00400344,0.246009,0
126000,L_virgatum,A_pubescens,0,0.253961,-0.00325609,0.186271,0
127000,L_virgatum,A_pubescens,0,0.117477,0.0190157,0.1245,0
128000,L_virgatum,A_pubescens,0,0.183886,0.00591553,0.121754,0
129000,L_virgatum,A_pubescens,0,0.117572,0.0254099,0.114531,0
130000,L_virgatum,A_pubescens,0,0.105549,0.0298168,0.0883726,0
130000,A_pubescens,NA,30.5561,0.60961,-0.0287069,0.472482,0
131000,L_virgatum,A_pubescens,0,0.136546,0.0265636,0.173041,0
132000,L_virgatum,A_pubescens,0,0.120476,0.0565941,0.180526,0
133000,L_virgatum,A_pubescens,0,0.11894,0.028941,0.122105,0
134000,L_virgatum,A_pubescens,0,0.112273,0.0257534,0.0870849,0
135000,L_virgatum,A_pubescens,0,0.10087,0.0537769,0.120266,0
136000,L_virgatum,A_pubescens,0,0.115405,0.0543474,0.150219,0
137000,L_virgatum,A_pubescens,0,0.106697,0.0344415,0.109886,0
138000,L_virgatum,A_pubescens,0,0.124859,0.0714946,0.164653,0
139000,L_virgatum,A_pubescens,0,0.0980952,0.0369794,0.0874572,0
140000,L_virgatum,A_pubescens,0,0.203285,0.00110231,0.133886,0
141000,L_virgatum,A_pubescens,0,0.203173,-0.00034898,0.148916,0
142000,L_virgatum,A_pubescens,0,0.161355,0.0290685,0.202749,0
143000,L_virgatum,A_pubescens,0,0.114224,0.0499145,0.148147,0
144000,L_virgatum,A_pubescens,0,0.101235,0.0336222,0.0656368,0
145000,L_virgatum,A_pubescens,0,0.090305,0.0925775,0.0925638,0
146000,L_virgatum,A_pubescens,0,0.132134,0.0353322,0.143282,0
147000,L_virgatum,A_pubescens,0,0.12385,0.0112064,0.101072,0
148000,L_virgatum,A_pubescens,0,0.137725,0.034652,0.173772,0
149000,L_virgatum,A_pubescens,0,0.148807,0.0685049,0.237376,0
150000,L_virgatum,A_pubescens,0,0.0999955,0.0771079,0.0985924,0
150000,Re_indica,T_sinensis,22.024,0.416207,-0.0477208,0.162238,0
151000,L_virgatum,A_pubescens,0,0.0931346,0.0567487,0.0875118,0
152000,L_virgatum,A_pubescens,0,0.149369,0.0471576,0.223434,0
153000,L_virgatum,A_pubescens,0,0.0809941,0.0326297,0.0445965,0
154000,L_virgatum,A_pubescens,0,0.124303,0.0151608,0.116912,0
154000,T_sinensis,NA,53.1688,0.75106,-0.0781075,0.627602,0
155000,L_virgatum,A_pubescens,0,0.188537,0.0102794,0.152687,0
156000,L_virgatum,A_pubescens,0,0.140462,0.0179552,0.160679,0
157000,L_virgatum,A_pubescens,0,0.145289,0.0123407,0.113785,0
158000,L_virgatum,A_pubescens,0,0.116479,0.0521774,0.144509,0
159000,L_virgatum,A_pubescens,0,0.105104,0.0623082,0.127288,0
160000,L_virgatum,A_pubescens,0,0.127538,0.069223,0.190642,0
