generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
233000,606,A_pubescens,0,0.475499,0.00951592,0.449306,0
234000,606,A_pubescens,0,0.455517,0.0150553,0.482637,0
235000,606,A_pubescens,0,0.419484,0.0132811,0.48418,0
236000,606,A_pubescens,0,0.380656,0.0277991,0.505436,0
237000,606,A_pubescens,0,0.415956,0.0416583,0.603133,0
238000,606,A_pubescens,0,0.303023,0.0399285,0.400877,0
239000,606,A_pubescens,0,0.315268,0.0300369,0.366092,0
240000,606,A_pubescens,0,0.338597,0.0197055,0.363978,0
240000,A_pubescens,Re_indica,8.23809,1.78481,-0.0204042,1.38396,0
241000,606,A_pubescens,0,0.518086,-0.00525874,0.364929,0
242000,606,A_pubescens,0,0.734843,-0.00545413,0.53614,0
243000,606,A_pubescens,0,0.780226,-0.00219225,0.671997,0
244000,606,A_pubescens,0,0.353862,0.0483947,0.523907,0
245000,606,A_pubescens,0,0.627798,0.00301748,0.628392,0
246000,606,A_pubescens,0,0.591758,0.00578942,0.610668,0
247000,606,A_pubescens,0,0.426908,0.0342665,0.610401,0
248000,606,A_pubescens,0,0.421389,0.0160181,0.484816,0
249000,606,A_pubescens,0,0.358351,0.0411569,0.48389,0
250000,606,A_pubescens,0,0.301757,0.0361211,0.364735,0
251000,606,A_pubescens,0,0.336855,0.0134684,0.372295,0
252000,606,A_pubescens,0,0.37764,0.00946669,0.347153,0
252000,A_pubescens,Re_indica,2.06576,0.0809695,0.0236105,0.148082,0
253000,606,A_pubescens,0,0.306865,0.05866,0.424273,0
253000,A_pubescens,Re_indica,2.23143,0.243648,-0.0630926,0.0462349,0
254000,606,A_pubescens,0,0.308859,0.0684558,0.409816,0
255000,606,A_pubescens,0,0.452089,0.0112655,0.443621,0
255000,A_pubescens,Re_indica,6.59872,0.229563,-0.0243771,0.157227,0
256000,606,A_pubescens,0,0.456101,0.0182687,0.523671,0
256000,A_pubescens,Re_indica,4.6581,0.041557,-0.0287959,0.0327008,0
257000,606,A_pubescens,0,0.361456,0.0308811,0.505055,0
258000,606,A_pubescens,0,0.337749,0.0798999,0.543449,0
259000,606,A_pubescens,0,0.524373,0.0182609,0.640146,0
